0	has_sitename	words_as_string
0	0	The,R-value,diagram,-LRB-,Fig.,10,-RRB-,proved,to,be,very,useful,for,the,zonation,.
1	0	An,abrupt,decline,of,about,50,‰,was,followed,by,several,oscillations,until,about,12,000,cal,yr,B.P.,Following,a,hiatus,in,the,record,from,about,11,000,to,8000,cal,yr,B.P.,,,when,only,few,mosses,were,preserved,,,δDmw,values,ranged,between,−,95,and,−,70,‰,,,decreasing,overall,by,about,10,--,15,‰,-LRB-,Fig.,5a,-RRB-,.
0	0	Abstracts,American,Quaternary,Association,1982,,,103,.
0	0	American,Journal,of,Science,,,256,,,341-359,.
0	0	This,paper,beneﬁtted,from,the,comments,of,M.,Greenwood,,,B.,Maxwell,and,K.,Pierce,,,L.,Stahle,and,two,anonymous,reviewers,.
1	1	Lago,di,Ganna,-,Late,-,glacial,and,Holocene,environments,of,a,lake,in,the,Southern,Alps,.
0	0	82,R.,Hillyer,et,al.,/,Quaternary,Research,71,-LRB-,2009,-RRB-,71,--,82,Riedinger,,,M.A.,,,Steinitz-Kannan,,,M.,,,Last,,,W.M.,,,Brenner,,,M.,,,2002,.
0	0	Vast,transitional,peat,bogs,are,still,dominated,by,forests,of,Bog-pine,-LRB-,Pinus,rotundata,-RRB-,.
0	1	We,selected,the,10,m,long,peat,core,from,Kanaka,Crater,to,show,a,pollen-based,document,of,vegetation,change,and,inferred,past,climatic,conditions,.
1	1	Influxes,of,sediment,and,pollen,also,increased,about,400,years,ago,in,the,core,from,Rutz,Lake,.
0	0	Suominen,,,J.,-LRB-,1968,-RRB-,.
0	0	The,``,Polylepis,problem,'',:,where,do,we,stand,?
0	1	This,is,most,likely,because,acidification,of,this,lake,coincided,with,the,period,of,increased,Ni,input,in,the,1920s,whereas,in,Lumsden,Lake,,,sapid,acidification,occurred,almost,50,yr,after,the,increase,of,-LSB-,Nil,deposition,.
1	1	Dry,periods,in,Pete,´,n,associated,with,Heinrich,events,are,correlated,with,increased,precipitation,in,the,southern,hemisphere,-LRB-,Fig.,8,-RRB-,,,as,inferred,from,lake,records,in,the,Andes,-LRB-,Baker,et,al.,,,2001,-RRB-,,,northern,Brazil,-LRB-,Colinvaux,et,al.,,,1996,;,Bush,et,al.,,,2004,-RRB-,,,and,marine,sediment,cores,off,northeastern,Brazil,and,are,attributed,to,the,southward,displacement,of,the,ITCZ,and,enhanced,northeast,Trade,Winds,-LRB-,Arz,et,al.,,,1998,;,Jennerjahn,et,al.,,,2004,;,Jaeschke,et,al.,,,2007,-RRB-,.
0	0	Field,Trip,,,pp.,189,208,.
0	0	Likewise,,,complete,acorns,,,another,often,diagnostic,feature,,,were,uncommon,in,the,middens,.
